Id	field	age	Soilwater_L1	production
0	0	19	0.35274	0.06407108239095315
1532	0	13	0.35274	0.28322784810126583
4204	0	4	0.35274	0.10626286386356956
1	0	19	0.36361	0.047657512116316636
1533	0	13	0.36361	0.1820675105485232
4205	0	4	0.36361	0.04019406057042047
2	0	19	0.36399000000000004	0.01686591276252019
1534	0	13	0.36399000000000004	0.3334388185654009
3	0	19	0.35677	0.025525040387722138
1535	0	13	0.35677	0.15991561181434602
4206	0	4	0.35677	0.013231402528668041
4	0	19	0.36002	0.04768982229402263
1536	0	13	0.36002	0.38217299578059066
5	0	19	0.35241	0.1475282714054927
1537	0	13	0.35241	0.30495780590717303
2332	0	3	0.35241	0.007334963325183375
4207	0	4	0.35241	0.04836812702146427
6	0	19	0.34244	0.3682714054927304
1538	0	13	0.34244	0.08913502109704641
2333	0	3	0.34244	0.012224938875305626
4208	0	4	0.34244	0.06709791237871214
7	0	19	0.32118	0.43919224555735065
1539	0	13	0.32118	0.15685654008438818
2334	0	3	0.32118	0.016748166259168706
4209	0	4	0.32118	0.019347250808585712
8	0	19	0.32211999999999996	0.4110823909531504
1540	0	13	0.32211999999999996	0.4337552742616033
2335	0	3	0.32211999999999996	0.0801955990220049
4210	0	4	0.32211999999999996	0.012231696559835343
9	0	19	0.29262	0.4294668820678513
1541	0	13	0.29262	0.19356540084388185
2336	0	3	0.29262	0.16650366748166262
4211	0	4	0.29262	0.047633049103204934
10	0	19	0.28886	0.36003231017770604
1542	0	13	0.28886	0.10242616033755277
2337	0	3	0.28886	0.02811735941320293
4212	0	4	0.28886	0.062334607468391666
11	0	19	0.2927	0.20252019386106626
1543	0	13	0.2927	0.16413502109704642
2338	0	3	0.2927	0.1471882640586797
4213	0	4	0.2927	0.020905615995295505
12	0	20	0.30134	0.12597738287560584
1544	0	14	0.30134	0.09504219409282699
2339	0	4	0.30134	0.1997555012224939
2423	0	3	0.30134	0.0
4214	0	5	0.30134	0.04736842105263159
13	0	20	0.33255999999999997	0.04549273021001616
1545	0	14	0.33255999999999997	0.27932489451476794
2340	0	4	0.33255999999999997	0.08863080684596578
2424	0	3	0.33255999999999997	0.0
4215	0	5	0.33255999999999997	0.03381358423992944
14	0	20	0.34691	0.05260096930533118
1546	0	14	0.34691	0.3679324894514768
2341	0	4	0.34691	0.10977995110024452
2425	0	3	0.34691	0.0
4216	0	5	0.34691	0.04445751249632461
15	0	20	0.3463	0.018610662358642973
1547	0	14	0.3463	0.25770042194092824
2342	0	4	0.3463	0.10342298288508557
2426	0	3	0.3463	0.0
4217	0	5	0.3463	0.2164657453690092
16	0	20	0.35231	0.07806138933764137
1548	0	14	0.35231	0.2371308016877637
2343	0	4	0.35231	0.05721271393643033
